sample_name,legend
20220915194625773574.png,['army' 'ME' 'art' 'Chert']
20220915194626150685.png,['ID' 'GA' 'virus' 'Mn']
20220915194626749992.png,['MINN' 'MD' 'Na']
20220915194627167286.png,['Limestone' 'Zn']
20220915194627577808.png,['DC' 'CONN' 'ID' 'menu']
20220915194627956316.png,
20220915194628362260.png,['cell' 'FLA' 'LA' 'buyer']
20220915194628917597.png,['area' 'MICH']
20220915194629261325.png,['CALIF' 'Amphiboles' 'ILL' 'power']
20220915194629638332.png,['MASS' 'buyer']
20220915194630271885.png,
20220915194630632333.png,['ME' 'IND' 'Pyroxenes' 'ID']
20220915194630978485.png,['FLA' 'hall' 'lake' 'Co']
20220915194631312803.png,['Iron oxides' 'CA' 'KS']
20220915194631947669.png,
20220915194632489887.png,['MA' 'Feldspars']
20220915194632951805.png,['A' 'MICH']
20220915194633497845.png,['area' 'ILL']
20220915194634018694.png,['ME' 'Na']
20220915194634564933.png,
20220915194634961403.png,
20220915194635614659.png,
20220915194636127644.png,
20220915194636653777.png,['AZ' 'Co' 'Coal' 'Ti']
20220915194637287485.png,['MINN' 'goal']
20220915194637825863.png,['MI' 'A' 'Ti' 'Anhydrite']
20220915194638392154.png,
20220915194638830057.png,['Chert' 'Feldspars' 'Carbonates']
20220915194639405518.png,['IOWA' 'KS' 'menu']
20220915194640224413.png,['Claystone' 'MA' 'GA']
20220915194640641304.png,['menu' 'bonus' 'Halite']
20220915194641106473.png,['IL' 'Mn' 'river' 'R']
20220915194641432981.png,
20220915194641835065.png,['KY' 'CT']
20220915194642226476.png,['Na' 'Apatite' 'IND' 'wood']
20220915194642772210.png,
20220915194643317905.png,['Anhydrite' 'KS']
20220915194643759435.png,
20220915194644138923.png,['Zn' 'art']
20220915194644697396.png,['lab' 'IDA' 'MINN' 'Dolostone']
20220915194645233689.png,
20220915194645708636.png,['user' 'week']
20220915194646214316.png,
20220915194646670998.png,['MASS' 'K']
20220915194647058480.png,
20220915194647402474.png,['CA' 'Zn' 'week']
20220915194648016082.png,['ME' 'Titanium' 'bonus' 'KY']
20220915194648522910.png,['Diatomite' 'area' 'Tuff']
20220915194649035452.png,['Gypsum' 'AZ' 'Sandstone']
20220915194649868568.png,
20220915194650531755.png,['buyer' 'Halite' 'river']
20220915194650948449.png,
20220915194651512858.png,
20220915194651929497.png,['Na' 'Na']
20220915194652521069.png,['Limestone' 'LA']
20220915194653134240.png,['power' 'MI' 'user']
20220915194653545185.png,['HI' 'ID' 'Zn']
20220915194654068073.png,
20220915194654691972.png,['Gypsum' 'MASS']
20220915194655270575.png,
20220915194655843710.png,
20220915194656419359.png,['town' 'Amphiboles']
20220915194656876650.png,
20220915194657469406.png,
20220915194658007610.png,['week' 'Titanium' 'HAW']
20220915194658438735.png,['week' 'ratio' 'buyer']
20220915194658958466.png,['Iron oxides' 'Mn']
20220915194659441505.png,['LA' 'user' 'IOWA']
20220915194700048099.png,
20220915194700622929.png,
20220915194701148879.png,
20220915194702320340.png,
20220915194702778478.png,
20220915194703352372.png,['area' 'Coal']
20220915194704074821.png,['KY' 'Mn' 'MD']
20220915194704652667.png,['river' 'FL' 'cell' 'LA']
20220915194705137857.png,['Carbonates' 'CALIF']
20220915194705706022.png,
20220915194706289998.png,
20220915194706761653.png,['MD' 'mud']
20220915194707316199.png,
20220915194707739099.png,['IDA' 'FL' 'Clay']
20220915194708387371.png,['COL' 'ratio' 'A']
20220915194708754961.png,['Tuff' 'cell']
20220915194709384938.png,
20220915194710054868.png,['IOWA' 'Mg']
20220915194710609372.png,
20220915194711148067.png,['cell' 'Fe' 'town' 'Co']
20220915194711779793.png,['CO' 'dirt' 'Chert']
20220915194712390235.png,['Ca' 'CONN' 'video']
20220915194712921887.png,['FLA' 'ratio' 'art']
20220915194713374774.png,
20220915194713763231.png,['mud' 'Halite' 'Titanium']
20220915194714389604.png,['area' 'Chert' 'GA']
20220915194714906020.png,['MD' 'Micas' 'ALA']
20220915194715472845.png,
20220915194715848340.png,
20220915194716475706.png,['Mn' 'art']
20220915194717071042.png,
20220915194717909041.png,['Feldspars' 'event' 'buyer' 'user']
20220915194718358227.png,['KANS' 'O' 'lake' 'HAW']
20220915194719011819.png,['Gypsum' 'bird' 'CO']
20220915194719605424.png,['C' 'Sandstone' 'B']
20220915194720101035.png,['buyer' 'IOWA']
20220915194720567203.png,['DC' 'MI' 'cell' 'dirt']
20220915194721054474.png,['ARK' 'MINN' 'O' 'KY']
20220915194721622332.png,['Micas' 'FLA']
20220915194722266896.png,['MN' 'MD' 'Na' 'Claystone']
20220915194722699709.png,['hat' 'mud']
20220915194723274754.png,['mode' 'power' 'Claystone']
20220915194723792694.png,
20220915194724613625.png,
20220915194725012770.png,
20220915194725481304.png,
20220915194725948124.png,['menu' 'Feldspars']
20220915194726548569.png,['LA' 'CO' 'area' 'IN']
20220915194727139925.png,
20220915194727863049.png,['river' 'Gypsum' 'CO']
20220915194728323969.png,
20220915194728747038.png,
20220915194729179490.png,['CALIF' 'DE' 'depth' 'HI']
20220915194730697891.png,['video' 'power' 'HI']
20220915194731129367.png,['area' 'AL']
20220915194731623111.png,
20220915194732346144.png,['Ca' 'bird']
20220915194733016222.png,
20220915194733692541.png,['Shale' 'Carbonates' 'DE']
20220915194734270177.png,['virus' 'COL' 'MN']
20220915194734895765.png,
20220915194735400357.png,['MI' 'R']
20220915194735923648.png,['IDA' 'power' 'menu' 'DC']
20220915194736565923.png,
20220915194737179663.png,['Dolostone' 'event']
20220915194737740166.png,
20220915194738229919.png,
20220915194738702165.png,['ME' 'KS' 'ID']
20220915194739349623.png,['Zn' 'CA' 'mud']
20220915194739858014.png,['AL' 'art']
20220915194740440920.png,['LA' 'river' 'Fe']
20220915194740898781.png,
20220915194741511586.png,['A' 'MASS']
20220915194742145059.png,['MASS' 'MD']
20220915194742829619.png,['GA' 'LA']
20220915194743464531.png,['virus' 'IN' 'Halite' 'LA']
20220915194743989714.png,
20220915194744675229.png,
20220915194745354683.png,['ALA' 'CALIF' 'user']
20220915194745869565.png,['area' 'MD' 'GA']
20220915194746548730.png,['AZ' 'DEL' 'mud']
20220915194747055071.png,['LA' 'Anhydrite' 'Sandstone']
20220915194747558785.png,['COL' 'DC' 'KANS' 'goal']
20220915194748221386.png,['Gypsum' 'river' 'KS' 'LA']
20220915194748867641.png,['AR' 'Zn' 'ME' 'KANS']
20220915194749346456.png,['MD' 'mud']
20220915194750000550.png,
20220915194750565796.png,
20220915194751239130.png,
20220915194751874505.png,['Ca' 'hat' 'area']
20220915194752501190.png,
20220915194752972527.png,['menu' 'Anhydrite' 'Mn']
20220915194753442759.png,
20220915194754215642.png,['mud' 'CO' 'Mn' 'GA']
20220915194755336495.png,
20220915194755846859.png,
20220915194756502462.png,['KS' 'IL' 'ID']
20220915194756999519.png,['R' 'lab']
20220915194757563573.png,
20220915194758046471.png,
20220915194758630459.png,['Ca' 'ratio' 'IDA']
20220915194759110459.png,
20220915194759772452.png,['lab' 'COL' 'army']
20220915194800298725.png,['Feldspars' 'Ca' 'MASS']
20220915194800938950.png,['Mg' 'MN']
20220915194801456517.png,['Ca' 'GA']
20220915194801956634.png,
20220915194802437981.png,['Amphiboles' 'IN' 'CA']
20220915194803103923.png,['CALIF' 'area' 'HAW' 'Claystone']
20220915194803731036.png,['Clay' 'AR' 'Micas' 'Zn']
20220915194804223376.png,
20220915194804691237.png,
20220915194805462590.png,['ARK' 'K']
20220915194806170906.png,['Mg' 'week' 'A' 'mode']
20220915194806785101.png,
20220915194808399461.png,['town' 'K']
20220915194809056399.png,['AR' 'ratio']
20220915194809577941.png,['IND' 'bonus' 'video']
20220915194810145941.png,
20220915194810815356.png,['MA' 'MASS' 'IDA']
20220915194811511748.png,
20220915194812256972.png,['wood' 'mud' 'bonus' 'LA']
20220915194812957199.png,['MASS' 'area']
20220915194813752153.png,['Feldspars' 'ARIZ' 'Fe']
20220915194814658179.png,
20220915194815402659.png,['COL' 'K' 'Feldspars' 'hall']
20220915194816081746.png,['FL' 'buyer' 'MICH']
20220915194816743064.png,
20220915194817243683.png,
20220915194817898657.png,
20220915194818605036.png,['KY' 'R']
20220915194819357426.png,
20220915194820107570.png,['Pyroxenes' 'FLA' 'river']
20220915194820937876.png,
20220915194821641412.png,
20220915194822365488.png,['Halite' 'dirt' 'Clay' 'hat']
20220915194822888070.png,
20220915194823632721.png,
20220915194824185194.png,['mud' 'KANS' 'Zn']
20220915194824763008.png,['river' 'buyer' 'DC']
20220915194825526251.png,
20220915194826027602.png,['MASS' 'army']
20220915194826532477.png,['Sandstone' 'MN' 'CONN' 'Iron oxides']
20220915194827057299.png,['Carbonates' 'DC']
20220915194827542314.png,['IDA' 'MINN']
20220915194828136602.png,['Ca' 'ratio' 'buyer']
20220915194828878694.png,['Feldspars' 'Mn' 'Coal' 'AL']
20220915194829391059.png,['town' 'ratio' 'Ca']
20220915194830197859.png,
20220915194830709510.png,['Chert' 'DEL' 'Zn']
20220915194831421196.png,
20220915194831958467.png,['virus' 'army' 'IDA' 'wood']
20220915194832622906.png,
20220915194833345149.png,['buyer' 'Feldspars']
20220915194833897178.png,['lake' 'ID' 'FLA' 'buyer']
20220915194834597027.png,['ALSK' 'Fe' 'CA']
20220915194835077555.png,['ME' 'KS' 'Tuff' 'MASS']
20220915194835822004.png,['Fe' 'ME' 'MI']
20220915194836512531.png,['hall' 'area']
20220915194837019150.png,['cell' 'ratio']
20220915194837504590.png,
20220915194838087956.png,
20220915194838568594.png,['Mg' 'Mn' 'Coal']
20220915194839058903.png,['Apatite' 'ARK' 'Pyroxenes' 'town']
20220915194839619471.png,
20220915194840444182.png,['HI' 'town']
20220915194840968857.png,['LA' 'mud']
20220915194841535414.png,
20220915194842107336.png,['IN' 'P' 'Co' 'MD']
20220915194842623072.png,
20220915194843230334.png,['week' 'bird' 'Mg']
20220915194843777824.png,['FL' 'IA' 'wood' 'MI']
20220915194844355443.png,['Ca' 'CONN']
20220915194844901695.png,['area' 'depth' 'hat' 'CONN']
20220915194845648078.png,
20220915194846211713.png,['C' 'Ti' 'bird' 'army']
20220915194846956323.png,
20220915194847674734.png,['C' 'AZ' 'Dolostone']
20220915194848185112.png,
20220915194848880205.png,['Diatomite' 'week' 'ME']
20220915194849618592.png,
20220915194850228552.png,
20220915194850804713.png,['IND' 'river']
20220915194851482460.png,
20220915194852085443.png,['Na' 'Fe' 'AZ']
20220915194852588035.png,['depth' 'area' 'Claystone']
20220915194853191357.png,['IOWA' 'lab']
20220915194853914041.png,['depth' 'Tuff' 'Sandstone']
20220915194854735879.png,['lake' 'army' 'AK']
20220915194855497848.png,['ALSK' 'P']
20220915194857368705.png,
20220915194857968743.png,['Coal' 'Sandstone']
20220915194858482449.png,
20220915194859061828.png,['AK' 'IA' 'menu']
20220915194859611475.png,
20220915194900246039.png,['AL' 'ME' 'KY']
20220915194900998998.png,
20220915194901563514.png,
20220915194902225428.png,
20220915194903181854.png,
20220915194903748394.png,['menu' 'buyer']
20220915194904294463.png,
20220915194904841292.png,['Shale' 'DC']
20220915194905604047.png,['DE' 'FL' 'MA']
20220915194906449279.png,['Anhydrite' 'C' 'Shale']
20220915194907220524.png,['river' 'art' 'Apatite']
20220915194908089034.png,['ME' 'Apatite' 'dirt']
20220915194908962287.png,
20220915194909549383.png,['Apatite' 'Titanium']
20220915194910433620.png,['MINN' 'GA' 'CONN']
20220915194911021371.png,['LA' 'K' 'Zn']
20220915194911708238.png,['river' 'area' 'Sandstone']
20220915194912313312.png,['MASS' 'Ca' 'ID']
20220915194913010720.png,['river' 'A' 'area' 'MN']
20220915194913546759.png,
20220915194914331566.png,['power' 'Halite']
20220915194915040617.png,['DE' 'art' 'CONN' 'IA']
20220915194916187900.png,['power' 'week']
20220915194917004082.png,['KY' 'river']
20220915194917812223.png,['Tuff' 'GA']
20220915194918330377.png,
20220915194919142479.png,['mud' 'goal' 'IOWA' 'AR']
20220915194919699401.png,
20220915194920296666.png,['GA' 'MN' 'DE']
20220915194920858515.png,['Chert' 'B' 'area' 'IOWA']
20220915194921650714.png,['Carbonates' 'Gypsum' 'KY']
20220915194922272936.png,['mud' 'GA' 'IOWA' 'week']
20220915194922849565.png,['IL' 'DE' 'IND']
20220915194923439079.png,['virus' 'Zn' 'river']
20220915194924004111.png,['ALSK' 'CA' 'river']
20220915194924744361.png,['AK' 'Zn']
20220915194925292380.png,
20220915194925957096.png,['CT' 'Co' 'Chert']
20220915194926695774.png,
20220915194927329023.png,
20220915194927888757.png,
20220915194928509721.png,['Pyroxenes' 'KY' 'Feldspars']
20220915194929225579.png,['MA' 'P' 'wood' 'ratio']
20220915194929829195.png,['depth' 'cell' 'Micas' 'CA']
20220915194930601264.png,['Amphiboles' 'depth' 'Apatite']
20220915194931134736.png,
20220915194931805084.png,['CO' 'ILL' 'Tuff' 'CA']
20220915194932409126.png,['MD' 'Amphiboles' 'Micas']
20220915194933025664.png,
20220915194933777360.png,['MA' 'Apatite']
20220915194934406180.png,['CA' 'ME' 'lake']
20220915194935482409.png,
20220915194936059046.png,['week' 'goal']
20220915194936890258.png,['river' 'KS' 'hall']
20220915194937718457.png,
20220915194938378524.png,['MD' 'Tuff' 'Chert' 'Pyroxenes']
20220915194939031852.png,
20220915194939690762.png,['cell' 'town' 'bird']
20220915194940477146.png,['ILL' 'menu']
20220915194941303462.png,['Feldspars' 'Fe' 'dirt']
20220915194942186025.png,['K' 'CA' 'CONN']
20220915194943333981.png,
20220915194943909579.png,['wood' 'ARK']
20220915194944457753.png,
20220915194945058439.png,
20220915194945612999.png,
20220915194946188552.png,
20220915194946809632.png,['CO' 'dirt']
20220915194947610098.png,['cell' 'buyer' 'MD']
20220915194948188426.png,
20220915194948919693.png,['lake' 'MICH' 'O' 'wood']
20220915194949679431.png,
20220915194950298463.png,
20220915194951034666.png,['O' 'IN']
20220915194951634551.png,['buyer' 'area']
20220915194952338376.png,['Micas' 'Na']
20220915194952944224.png,['IND' 'mode' 'bonus']
20220915194953590963.png,['mode' 'Shale' 'Na']
20220915194954211089.png,['GA' 'ARK' 'AZ']
20220915194954845237.png,['IL' 'AL' 'R' 'ME']
20220915194955662446.png,['ARIZ' 'town' 'ALSK']
20220915194956286627.png,['Mg' 'Co']
20220915194957068670.png,['Limestone' 'hat' 'Feldspars']
20220915194957835535.png,['Ca' 'LA' 'Anhydrite' 'mud']
20220915194958701250.png,
20220915194959287575.png,
20220915194959927653.png,['MD' 'A' 'CA' 'Mn']
20220915195000532426.png,
20220915195001124774.png,['depth' 'ALA' 'wood' 'mud']
20220915195003777105.png,['Ca' 'river' 'ALA' 'IL']
20220915195004361178.png,['mode' 'Na' 'Amphiboles']
20220915195005081776.png,
20220915195005683272.png,
20220915195006474665.png,['MD' 'Anhydrite' 'DC' 'Pyroxenes']
20220915195007097539.png,['hall' 'Tuff' 'Limestone']
20220915195007841993.png,['AZ' 'Ti']
20220915195008398794.png,['MA' 'hat' 'lab']
20220915195009147654.png,
20220915195009781120.png,['virus' 'ARIZ' 'hall']
20220915195010518186.png,['river' 'O' 'ME' 'MASS']
20220915195011298647.png,['town' 'ALSK']
20220915195011929300.png,
20220915195012534763.png,['river' 'Shale' 'Mg']
20220915195013222240.png,['MA' 'Feldspars']
20220915195013922567.png,
20220915195014610468.png,['bonus' 'CT' 'Co']
20220915195015237960.png,
20220915195016001072.png,
20220915195016791477.png,['goal' 'DEL']
20220915195017416759.png,['area' 'river' 'DEL' 'DC']
20220915195018181107.png,
20220915195019083726.png,
20220915195020183821.png,
20220915195020790787.png,['MASS' 'IDA']
20220915195021544231.png,
20220915195022197792.png,
20220915195023036442.png,
20220915195023815853.png,['LA' 'LA']
20220915195024670689.png,['GA' 'Diatomite']
20220915195025455867.png,
20220915195026282966.png,['river' 'LA' 'MD' 'Fe']
20220915195027236892.png,
20220915195027822462.png,['Feldspars' 'MINN']
20220915195028661828.png,['IOWA' 'event' 'AL' 'Coal']
20220915195029358468.png,['Sandstone' 'Ca' 'buyer' 'IN']
20220915195030137885.png,
20220915195030974294.png,['Claystone' 'IA']
20220915195031798113.png,
20220915195032417873.png,
20220915195033119105.png,['CO' 'LA']
20220915195033918368.png,
20220915195034650855.png,['Gypsum' 'P' 'B' 'week']
20220915195035431571.png,
20220915195036148724.png,['hall' 'cell' 'user' 'MI']
20220915195036782380.png,['Fe' 'MD']
20220915195037438454.png,['Diatomite' 'MN' 'goal' 'Na']
20220915195038103269.png,['CT' 'event' 'IN' 'IDA']
20220915195038947437.png,['bird' 'GA']
20220915195039531275.png,
20220915195040187022.png,
20220915195040879013.png,
20220915195041793496.png,['Ti' 'Co' 'town' 'ID']
20220915195042482533.png,
20220915195043656427.png,['goal' 'ARK']
20220915195044305507.png,
20220915195044977242.png,['ARIZ' 'hall' 'virus' 'MICH']
20220915195045825421.png,['virus' 'Ca' 'GA']
20220915195046508438.png,['CO' 'depth' 'Sandstone' 'FLA']
20220915195047183046.png,['army' 'river' 'wood' 'buyer']
20220915195047879476.png,
20220915195048638618.png,['event' 'FL' 'AR']
20220915195049246943.png,
20220915195049908601.png,['Carbonates' 'wood' 'bonus' 'MA']
20220915195050590335.png,
20220915195051257074.png,['buyer' 'video' 'ME' 'user']
20220915195052170113.png,['Amphiboles' 'river' 'ALA' 'Ca']
20220915195052800889.png,['Fe' 'IL']
20220915195053514925.png,['Shale' 'lake' 'CALIF']
20220915195054339332.png,
20220915195055001424.png,
20220915195055714466.png,['hat' 'bird' 'AR' 'IOWA']
20220915195056390118.png,['IN' 'Titanium' 'Ca' 'bird']
20220915195057206098.png,['Limestone' 'goal' 'Dolostone']
20220915195057916917.png,['Titanium' 'Co' 'hall']
20220915195058616232.png,['P' 'ALA']
20220915195059485765.png,['CONN' 'cell' 'Zn' 'AR']
20220915195100230738.png,['Mn' 'Dolostone']
20220915195101067263.png,['menu' 'CO']
20220915195102124168.png,
20220915195103020398.png,['event' 'KY' 'Carbonates']
20220915195103889070.png,
20220915195104604481.png,
20220915195105283250.png,['C' 'ARK' 'Clay' 'Na']
20220915195106151193.png,
20220915195106783259.png,['area' 'Micas']
20220915195107530726.png,['Carbonates' 'Coal']
20220915195108377760.png,
20220915195109067035.png,['CT' 'user' 'bonus']
20220915195109978158.png,['MA' 'C']
20220915195110838881.png,['buyer' 'power' 'HI' 'ID']
20220915195111519792.png,['ARIZ' 'HAW']
20220915195112393727.png,['KY' 'Micas']
20220915195113245553.png,['ARK' 'Ca']
20220915195114058531.png,
20220915195114815174.png,['buyer' 'Na' 'Feldspars' 'Diatomite']
20220915195115464978.png,['buyer' 'GA']
20220915195116191418.png,['ratio' 'ILL' 'KANS']
20220915195117112632.png,
20220915195117943020.png,
20220915195118625380.png,
20220915195119602648.png,['Dolostone' 'DEL' 'week']
20220915195120558761.png,['C' 'MASS']
20220915195121376593.png,['CALIF' 'Carbonates']
20220915195122288349.png,['KY' 'MASS']
20220915195123152868.png,['O' 'FLA' 'AL' 'Ca']
20220915195124009261.png,
20220915195124723780.png,['LA' 'MASS' 'MD']
20220915195125420986.png,
20220915195126097141.png,['Mg' 'CT' 'Titanium' 'MD']
20220915195126741402.png,
20220915195127637894.png,['Mn' 'Clay']
20220915195128384655.png,['Fe' 'IND' 'lake']
20220915195129490561.png,['lake' 'IA' 'KANS' 'river']
20220915195130625729.png,['FLA' 'Clay' 'menu']
20220915195133494139.png,['AR' 'IDA' 'river']
20220915195134472581.png,
20220915195135186466.png,['Ca' 'A' 'KANS']
20220915195136068212.png,['menu' 'AL' 'Titanium']
20220915195136919183.png,['week' 'ARK' 'R']
20220915195137738773.png,
20220915195138645858.png,['MD' 'MASS']
20220915195139504982.png,['Carbonates' 'DEL' 'bonus']
20220915195140431617.png,['IND' 'P' 'Feldspars']
20220915195141273749.png,
20220915195142037543.png,['ME' 'MI' 'KY' 'Sandstone']
20220915195143203726.png,['Dolostone' 'Pyroxenes' 'river']
20220915195144017271.png,['ID' 'IND' 'river']
20220915195144952999.png,
20220915195145918159.png,['bird' 'MD']
20220915195147341314.png,['Sandstone' 'lab']
20220915195148260585.png,
20220915195149128547.png,
20220915195149989425.png,['area' 'dirt' 'GA']
20220915195150726747.png,['AZ' 'ME']
20220915195151647168.png,['river' 'bird' 'DEL' 'Iron oxides']
20220915195152579304.png,['ratio' 'cell']
20220915195153658140.png,
20220915195154990900.png,['Mn' 'dirt' 'lake']
20220915195156219026.png,['MD' 'Amphiboles' 'Shale' 'ARK']
20220915195156957642.png,
20220915195158002545.png,['MINN' 'Dolostone' 'Ca']
20220915195158868601.png,['ID' 'area' 'hall' 'virus']
20220915195159578765.png,
20220915195200525857.png,['FLA' 'Coal']
20220915195201373936.png,
20220915195202456094.png,
20220915195203175199.png,['R' 'AL' 'K']
20220915195204056341.png,['O' 'buyer' 'Ca']
20220915195204833428.png,['Claystone' 'bonus' 'GA' 'ALA']
20220915195205539516.png,
20220915195206383611.png,['MA' 'river' 'ME']
20220915195207355326.png,['DEL' 'Shale']
20220915195208625075.png,['Shale' 'FL' 'MINN']
20220915195209370880.png,['Dolostone' 'Shale' 'Halite']
20220915195210328980.png,['area' 'Feldspars' 'mud']
20220915195211152297.png,['video' 'DE']
20220915195212386621.png,['MD' 'week' 'IA' 'depth']
20220915195213265094.png,
20220915195214276267.png,['ARIZ' 'LA' 'MD' 'P']
20220915195215147466.png,['week' 'ratio']
20220915195216823132.png,
20220915195218313213.png,
20220915195219621127.png,['HI' 'power' 'Mg' 'hall']
20220915195220378751.png,['P' 'Amphiboles' 'ARIZ']
20220915195221090695.png,['MD' 'KY' 'event']
20220915195221790275.png,['HI' 'HAW' 'Na']
20220915195222701118.png,['hat' 'DEL']
20220915195223454596.png,
20220915195224216533.png,['hat' 'army']
20220915195225085391.png,['Pyroxenes' 'mode' 'KS' 'ID']
20220915195226114882.png,['IN' 'Fe' 'A']
20220915195227081463.png,['P' 'wood' 'town']
20220915195227929579.png,['O' 'MICH' 'A']
20220915195228662483.png,['Sandstone' 'army' 'Mn']
20220915195229338471.png,['area' 'CT']
20220915195230117391.png,['Co' 'Sandstone' 'depth']
20220915195230953939.png,
20220915195231858325.png,['Carbonates' 'MD' 'virus']
20220915195232638450.png,['Micas' 'event' 'IOWA']
20220915195233507875.png,
20220915195234208179.png,
20220915195234967561.png,
20220915195235868368.png,['CA' 'Amphiboles' 'event' 'AL']
20220915195236641120.png,
20220915195237404310.png,['Sandstone' 'IOWA' 'MD' 'Anhydrite']
20220915195238155312.png,
20220915195239040305.png,['FLA' 'A']
20220915195239808942.png,['Sandstone' 'DC' 'buyer']
20220915195240839885.png,
20220915195241748889.png,
20220915195242623359.png,
20220915195243418475.png,['dirt' 'C' 'Shale']
20220915195244125406.png,
20220915195245098567.png,['Anhydrite' 'CA' 'Sandstone']
20220915195245898202.png,['MINN' 'IA']
20220915195246601222.png,
20220915195247485135.png,['ALA' 'Ti' 'Fe']
20220915195248274008.png,
20220915195249241105.png,['Claystone' 'HI' 'KANS']
20220915195249977659.png,['ratio' 'ME']
20220915195250903173.png,
20220915195251639206.png,['ILL' 'bird' 'area']
20220915195252423522.png,['IN' 'goal' 'IA']
20220915195253357796.png,['MD' 'MI']
20220915195254368507.png,
20220915195255252970.png,
20220915195256199126.png,['river' 'P' 'Coal' 'area']
20220915195256994382.png,['mud' 'Mg' 'Titanium' 'Feldspars']
20220915195257882681.png,['Chert' 'KY' 'week']
20220915195258797709.png,['Ti' 'depth']
20220915195259599688.png,['IL' 'Fe' 'Amphiboles' 'ALA']
20220915195300548728.png,['ILL' 'K' 'AK' 'Na']
20220915195301553900.png,
20220915195302717637.png,['Gypsum' 'goal' 'Micas' 'DEL']
20220915195303604227.png,['town' 'CA' 'HAW' 'Ca']
20220915195304522205.png,['GA' 'Ca']
20220915195305283293.png,['hall' 'menu' 'area' 'Na']
20220915195306053351.png,['lab' 'ARK' 'Ca' 'week']
20220915195307065114.png,
20220915195308029456.png,['bird' 'Micas']
20220915195308834824.png,
20220915195309596533.png,['hat' 'HAW' 'video']
20220915195310282782.png,
20220915195311093420.png,
