,sample_name,legend,xmin,ymin,width,height
0,graph117.png,"['C', 'groutnoll', 'halieutical']",450,117,85,47
0,graph118.png,"['k', 'aiguillesque', 'graveolence', 'outvaunt']",137,158,95,77
0,graph119.png,"['D', 'iconostases']",757,179,92,47
0,graph120.png,"['uncircumcisedness', 'membranes', 'milleri']",719,191,128,47
0,graph121.png,"['V', 'galactoid']",753,240,79,47
0,graph122.png,"['w', 'C', 'windjammers']",140,183,101,47
0,graph123.png,"['u', 'calfish', 'uncorrespondent', 'moralizing']",137,125,118,77
0,graph124.png,['firebox'],466,246,68,32
0,graph125.png,"['G', 'chinchiness', 'cosmozoan']",761,164,92,62
0,graph126.png,"['g', 'unteachable']",143,246,96,47
0,graph127.png,"['d', 'princesses']",760,125,87,32
0,graph128.png,"['D', 'posthemorrhagic', 'cytococci', 'tweak']",722,214,118,62
0,graph129.png,"['snobbish', 'uphold', 'cions', 'deferment']",757,127,86,62
0,graph130.png,"['R', 'a', 'degasify']",464,231,76,62
0,graph131.png,"['P', 'q', 'x', 'pogonips']",775,219,79,62
0,graph132.png,"['d', 'novobiocin', 'mavises', 'surstyle']",153,224,88,62
0,graph133.png,['hewn'],782,262,61,17
0,graph134.png,"['tambourins', 'adagissimo', 'cantos', 'succubuses']",157,222,92,62
0,graph135.png,"['u', 'A', 'perinuclear', 'coalized']",149,136,90,62
0,graph136.png,"['g', 'c', 'x', 'corpn']",469,225,62,62
0,graph137.png,['unoperably'],441,246,90,32
0,graph138.png,"['depolished', 'uteroscope', 'pericarpic', 'beresite']",764,139,89,62
0,graph139.png,"['y', 'z', 'u', 'somniloquist']",144,217,97,77
0,graph140.png,[],,,,
0,graph141.png,"['spilth', 'pithecoid']",134,187,80,32
0,graph142.png,"['K', 'reeder']",774,190,66,47
0,graph143.png,"['E', 'd', 'e', 'overshot']",756,135,77,77
0,graph144.png,"['g', 'bratling']",758,233,73,47
0,graph145.png,"['R', 'propriation', 'dentistry']",148,126,88,62
0,graph146.png,['promiseful'],128,201,86,17
0,graph147.png,"['concubitus', 'caulds']",135,235,88,47
0,graph148.png,"['P', 'milldoll', 'bodrag', 'silverbill']",457,208,75,77
0,graph149.png,"['s', 'h', 'pretransport', 'gerahs']",151,117,96,62
0,graph150.png,['hydrometer'],126,254,92,32
0,graph151.png,['revalued'],145,275,77,17
0,graph152.png,"['t', 'C', 'F', 'axoplasms']",463,208,87,77
0,graph153.png,"['funt', 'ontocyclic']",149,140,84,47
0,graph154.png,['pupillidae'],136,190,82,17
0,graph155.png,[],,,,
0,graph156.png,"['pleurotomoid', 'inexperienced']",160,126,104,32
0,graph157.png,"['fossilage', 'volunteerism']",731,190,99,32
0,graph158.png,"['e', 'x', 'q', 'operatical']",464,119,83,77
0,graph159.png,"['q', 'ikons']",121,131,62,47
0,graph160.png,['iwberry'],146,129,71,17
0,graph161.png,[],,,,
0,graph162.png,"['W', 'Y', 'A', 'trichopterygidae']",737,171,116,77
0,graph163.png,"['psychoprophylactic', 'pretested']",432,135,129,47
0,graph164.png,"['s', 'amoebiform']",144,122,94,47
0,graph165.png,"['chivarro', 'babyfied']",155,173,77,47
0,graph166.png,"['I', 'underpinner', 'assimilation', 'preinform']",128,206,95,77
0,graph167.png,"['f', 'M', 'hyposulphurous']",131,180,113,62
0,graph168.png,[],,,,
0,graph169.png,"['r', 'metatheory', 'carbolized', 'landlordship']",140,116,95,62
0,graph170.png,"['sunsuits', 'bryaceous']",768,131,85,32
0,graph171.png,"['gringole', 'sabby', 'immesh']",140,182,97,62
0,graph172.png,"['u', 'unweariedly', 'groupthink', 'proparoxytonic']",732,156,108,77
0,graph173.png,"['S', 'linstocks']",446,138,77,32
0,graph174.png,"['y', 'x', 'q', 'upflinging']",755,133,83,62
0,graph175.png,['absorbers'],123,253,83,32
0,graph176.png,"['granolite', 'phyllospondylous']",429,119,120,47
0,graph177.png,"['W', 'n', 'inobservable']",738,221,98,62
0,graph178.png,"['X', 'R', 'physiophilist']",127,182,96,47
0,graph179.png,"['K', 'qrs', 'unbinding']",754,136,84,62
0,graph180.png,"['outserving', 'freehand', 'porpentine']",138,239,88,47
0,graph181.png,"['nonexigently', 'marsupia']",134,190,98,47
0,graph182.png,"['spinny', 'egocentrically', 'myelosyphilis']",737,246,103,47
0,graph183.png,"['n', 'dracontium']",757,178,91,47
0,graph184.png,"['h', 'misatone']",443,131,80,47
0,graph185.png,"['b', 'm', 'dromaeognathous', 'uninventibleness']",444,121,123,77
0,graph186.png,"['uninsured', 'once', 'zirconian']",765,188,83,47
0,graph187.png,['siddha'],451,121,67,32
0,graph188.png,['theogonic'],459,120,83,32
0,graph189.png,['encroachments'],727,244,110,32
0,graph190.png,"['x', 'l', 'l', 'opisthenar']",131,120,89,77
0,graph191.png,['splenectopia'],129,257,97,32
0,graph192.png,"['x', 'perfectionize']",165,263,98,32
0,graph193.png,"['sikerness', 'centriscoid', 'keratinization', 'hokerer']",437,229,101,62
0,graph194.png,"['q', 'olivilin', 'ghafir']",771,222,66,62
0,graph195.png,['guppies'],148,192,84,32
0,graph196.png,"['B', 'concilium', 'undistinguished']",725,226,113,62
0,graph197.png,['tailwards'],756,134,79,32
0,graph198.png,"['q', 'saloon']",771,132,66,47
0,graph199.png,"['N', 'X', 'outpost', 'hearting']",142,210,76,77
0,graph200.png,"['T', 'costs', 'beignet']",456,228,72,62
0,graph201.png,"['Q', 'c', 'isothiocyano']",436,116,96,47
0,graph202.png,"['V', 'opercule', 'handspring']",132,175,90,47
0,graph203.png,['casted'],153,130,67,32
0,graph204.png,"['B', 'wagweno']",757,187,81,32
0,graph205.png,"['counterextend', 'grubless', 'anguilliform']",734,176,106,62
0,graph206.png,[],,,,
0,graph207.png,"['diskless', 'erotic', 'variables', 'undoer']",770,124,79,62
0,graph208.png,"['c', 'conquerable', 'effloresces']",141,121,95,62
0,graph209.png,['platyrhini'],461,129,81,17
0,graph210.png,['distilling'],155,207,76,17
0,graph211.png,"['koumises', 'primming', 'mixochromosome']",152,139,121,62
0,graph212.png,"['P', 'contrair']",454,248,73,32
0,graph213.png,"['amounters', 'transcutaneous', 'egads']",143,226,111,62
0,graph214.png,"['drosera', 'nonappellate', 'unlecherous']",140,137,99,47
0,graph215.png,"['L', 'j', 'neutron', 'mutches']",759,225,77,62
0,graph216.png,"['b', 'labyrinthed']",755,189,91,47
0,graph217.png,['palateless'],773,262,84,17
0,graph218.png,"['F', 'palladiumized']",167,181,103,47
0,graph219.png,['glycerogel'],125,197,85,17
0,graph220.png,"['h', 'S', 'u', 'streamliners']",131,214,96,62
0,graph221.png,['seeming'],449,269,76,17
0,graph222.png,"['v', 'o', 'adterminal', 'alleluia']",756,173,88,62
0,graph223.png,"['outvier', 'phalaropes', 'esophagoptosis', 'trunks']",450,207,111,77
0,graph224.png,"['j', 'cereous']",147,251,73,32
0,graph225.png,"['V', 'immixable']",140,264,86,32
0,graph226.png,[],,,,
0,graph227.png,['forewent'],139,113,78,17
0,graph228.png,"['S', 'sag']",132,260,52,32
0,graph229.png,"['mowt', 'professionalizing', 'appalls']",149,180,117,62
0,graph230.png,"['F', 'Y', 'N', 'ergophile']",772,215,80,62
0,graph231.png,"['b', 'mollifying', 'freechurchism']",743,188,104,47
0,graph232.png,"['E', 'A', 'longfelt']",140,222,72,62
0,graph233.png,"['nursekeeper', 'tautologicalness', 'unremittency']",450,246,115,47
0,graph234.png,[],,,,
0,graph235.png,"['uneffaced', 'plautine']",767,132,83,32
0,graph236.png,"['s', 'environmentalist', 'retirade']",721,129,117,47
0,graph237.png,"['atremble', 'serimpi', 'skirmisher', 'pangerang']",751,200,88,77
0,graph238.png,"['U', 'abdicates']",154,180,82,32
0,graph239.png,"['y', 'commulation', 'onlooker']",150,120,99,62
0,graph240.png,[],,,,
0,graph241.png,"['subdialects', 'expalpate']",446,247,90,47
0,graph242.png,"['R', 'janitorial']",470,116,78,47
0,graph243.png,"['firebreak', 'pretexts']",138,138,78,47
0,graph244.png,"['braconniere', 'depots', 'fentanyl', 'fagott']",139,214,93,62
0,graph245.png,"['t', 'd', 'variating']",759,138,78,62
0,graph246.png,"['sporadicalness', 'niggled', 'comprovincial']",738,180,107,47
0,graph247.png,['decompensated'],726,276,113,17
0,graph248.png,"['q', 'decorticated', 'desexualized']",726,175,98,62
0,graph249.png,"['boddle', 'secretarial', 'sandrock']",449,229,86,62
0,graph250.png,[],,,,
0,graph251.png,"['H', 'repays', 'polyfenestral', 'recoilless']",147,122,99,77
0,graph252.png,['immerd'],763,273,72,17
0,graph253.png,"['q', 'M', 'smoodge']",778,135,79,62
0,graph254.png,"['s', 'U', 'T', 'plumbaginaceous']",724,124,121,62
0,graph255.png,"['p', 'P', 'marcasitical']",461,135,94,62
0,graph256.png,"['dentilabial', 'cariousness']",433,244,92,32
0,graph257.png,"['ecchondrotome', 'abiotical']",129,138,111,47
0,graph258.png,"['d', 'outthinks', 'endognathal', 'conconscious']",158,200,100,77
0,graph259.png,"['antheia', 'anoxyscope', 'propines', 'counterchanged']",432,120,114,62
0,graph260.png,"['stray', 'prehatred', 'stereoscopies']",445,220,102,62
0,graph261.png,"['k', 'overstridentness']",733,122,117,47
0,graph262.png,"['dominica', 'nonmaliciously']",153,177,108,47
0,graph263.png,"['q', 'w', 'carcased']",773,187,78,62
0,graph264.png,['flannelmouthed'],448,123,112,32
0,graph265.png,"['kinosternidae', 'snowfield', 'asssembler', 'thwait']",757,202,101,77
0,graph266.png,"['E', 'legitimity']",770,179,81,32
0,graph267.png,[],,,,
0,graph268.png,"['chevroned', 'pawed']",758,127,87,47
0,graph269.png,[],,,,
0,graph270.png,['uval'],800,113,55,17
0,graph271.png,['marbelize'],741,115,83,17
0,graph272.png,['labeled'],788,181,70,32
0,graph273.png,"['k', 'X', 'yappers', 'firstship']",132,171,74,62
0,graph274.png,"['x', 'oblately', 'rude', 'pitmenpitmirk']",727,129,104,62
0,graph275.png,"['chastize', 'heparinizing', 'inframaxillary', 'gangliate']",427,221,102,62
0,graph276.png,['cyclecar'],136,126,75,17
0,graph277.png,"['c', 'slagless']",777,239,74,47
0,graph278.png,['pacht'],122,196,62,32
0,graph279.png,['decertifying'],148,198,93,17
0,graph280.png,"['meddling', 'altogetherness']",733,187,108,32
0,graph281.png,"['K', 'zebrinny', 'bassia']",765,231,77,62
0,graph282.png,['eternalist'],748,261,81,32
0,graph283.png,"['F', 'fells']",800,187,55,32
0,graph284.png,"['L', 'dismantling', 'angiodermatitis', 'forche']",148,119,111,77
0,graph285.png,"['j', 'F', 'tora', 'ingemination']",433,130,99,77
0,graph286.png,['issue'],126,258,67,32
0,graph287.png,"['f', 'stateside', 'photochrome']",149,174,99,47
0,graph288.png,[],,,,
0,graph289.png,['superimprobableness'],132,198,140,32
0,graph290.png,"['V', 'carbohydrate', 'joyweed']",750,185,100,47
0,graph291.png,"['w', 'modistes', 'arsyversy', 'impliedly']",754,167,82,62
0,graph292.png,"['S', 'u', 'deleading']",140,129,83,47
0,graph293.png,"['hydrophore', 'eudorina', 'carijona']",134,215,90,62
0,graph294.png,"['iceless', 'theopaschite']",441,246,98,47
0,graph295.png,['targumist'],122,124,82,32
0,graph296.png,"['nonmutually', 'libidinized', 'galvanotonic']",137,230,97,62
0,graph297.png,"['e', 'P', 'lockmaker', 'footmanry']",770,133,85,62
0,graph298.png,"['bundles', 'dear', 'pettling']",782,225,73,62
0,graph299.png,"['carpetbag', 'remeasurements', 'hardyhead', 'ptisans']",723,234,118,62
0,graph300.png,"['y', 'chiveret']",436,241,74,47
0,graph301.png,"['byzantinism', 'complexion']",737,132,94,47
0,graph302.png,[],,,,
0,graph303.png,"['K', 'meloid', 'laparogastrotomy']",427,129,121,47
0,graph304.png,"['s', 'tautest', 'sermonise', 'semiengaged']",146,217,101,62
0,graph305.png,"['symmetrizing', 'subterraneous', 'inhibitive']",746,121,105,62
0,graph306.png,"['skintight', 'proscriptiveness', 'perborax', 'harl']",132,232,115,62
0,graph307.png,"['k', 'popularize']",441,131,86,32
0,graph308.png,['tsaristic'],123,122,73,17
0,graph309.png,"['pandosto', 'rejuvenized', 'oilskins']",460,129,91,47
0,graph310.png,['weighmen'],118,125,85,17
0,graph311.png,['lustrously'],443,266,82,17
0,graph312.png,"['g', 'K', 'capon']",790,234,64,47
0,graph313.png,"['U', 'O', 'sandwiched', 'favel']",735,130,93,62
0,graph314.png,['wellbeing'],773,265,81,17
0,graph315.png,['ethicist'],760,193,71,32
0,graph316.png,"['howdah', 'bastards', 'superseraphically', 'micromorphologic']",714,129,122,62
0,graph317.png,"['e', 'T', 'B', 'pignon']",772,134,68,62
0,graph318.png,"['deuterostomatous', 'ovenwares']",720,231,124,47
0,graph319.png,"['l', 'pentatomic', 'weanyer', 'hefty']",151,136,90,62
0,graph320.png,"['V', 'p', 'funnelled']",135,128,80,47
0,graph321.png,[],,,,
0,graph322.png,"['negroism', 'tohome']",118,132,80,32
0,graph323.png,"['d', 'according']",152,230,82,47
0,graph324.png,"['o', 'b', 'sebaceous']",143,174,87,47
0,graph325.png,"['a', 'cytoanalyzer']",140,128,97,32
0,graph326.png,"['detribalization', 'intubates']",753,192,105,32
0,graph327.png,"['L', 'shikii', 'analog']",472,134,68,47
0,graph328.png,"['P', 'unabortiveness', 'intoxicate']",734,120,110,62
0,graph329.png,['centriscoid'],739,258,91,32
0,graph330.png,"['intrajugular', 'denominational']",731,233,111,47
0,graph331.png,"['eventilate', 'bespangles']",767,136,90,32
0,graph332.png,"['arank', 'aspic', 'protoxids', 'betes']",155,134,80,62
0,graph333.png,"['hackman', 'obedientialness']",741,134,112,47
0,graph334.png,"['d', 'monophthalmus']",440,114,114,32
0,graph335.png,"['e', 'K', 'gasser', 'hotch']",766,127,67,77
0,graph336.png,"['M', 'a', 'H', 'polyhalogen']",148,127,94,77
0,graph337.png,"['A', 'N', 'fatalisms']",762,173,79,62
0,graph338.png,"['Q', 'pressurizers', 'smerked', 'electrofuse']",735,169,94,77
0,graph339.png,"['D', 'colonial']",772,241,84,47
0,graph340.png,"['c', 'hymned', 'esociform', 'distrito']",451,145,82,62
0,graph341.png,"['fittonia', 'footsies', 'panegyrize']",741,124,89,62
0,graph342.png,"['shaftfoot', 'astrognosy']",761,186,88,32
0,graph343.png,"['overuse', 'thecodont']",150,197,84,32
0,graph344.png,"['S', 'F', 'F', 'unguidably']",150,185,89,62
0,graph345.png,"['R', 'h', 'a', 'hyperspatial']",737,169,96,77
0,graph346.png,"['attuned', 'stemmier']",451,137,81,32
0,graph347.png,"['G', 'crannied', 'polypedates']",128,247,95,47
0,graph348.png,['inertness'],127,134,80,32
0,graph349.png,"['O', 'millennialist']",143,131,94,47
0,graph350.png,"['prepriced', 'serbonian', 'pentateuch']",146,191,91,47
0,graph351.png,"['J', 'goshen']",779,255,70,32
0,graph352.png,"['f', 'comptness']",730,122,88,47
0,graph353.png,['antithesis'],467,126,83,17
0,graph354.png,"['immunizer', 'subcomputation']",743,187,114,32
0,graph355.png,['inceration'],137,251,84,32
0,graph356.png,"['antithetic', 'forepassed']",151,118,88,47
0,graph357.png,"['myelines', 'teats']",149,262,79,32
0,graph358.png,"['c', 'A', 'H', 'jew']",157,226,51,62
0,graph359.png,['ponton'],788,119,69,17
0,graph360.png,[],,,,
0,graph361.png,"['qindars', 'osmerus']",129,116,76,32
0,graph362.png,"['opalines', 'coquito', 'unmouldy']",131,122,83,47
0,graph363.png,['palaeoentomological'],156,128,136,32
0,graph364.png,"['permeate', 'cornflower']",139,249,86,32
0,graph365.png,"['redeprive', 'narcism', 'causeuses']",149,176,86,47
0,graph366.png,['stinko'],453,247,64,32
0,graph367.png,"['D', 'tetrandria', 'outthrows']",147,183,83,47
0,graph368.png,"['G', 'cleavers', 'holw']",773,190,76,47
0,graph369.png,"['sixtine', 'reappraisals']",759,250,95,32
0,graph370.png,"['f', 'orthodiagraph']",140,135,104,32
0,graph371.png,[],,,,
0,graph372.png,"['w', 'zareba']",139,193,68,32
0,graph373.png,[],,,,
0,graph374.png,"['Y', 'mellowed', 'unthrashed']",140,122,91,47
0,graph375.png,['turnel'],459,116,71,32
0,graph376.png,"['k', 'scrape', 'furfuration']",149,225,87,62
0,graph377.png,[],,,,
0,graph378.png,[],,,,
0,graph379.png,['lysosomes'],771,202,86,17
0,graph380.png,"['nucula', 'excursuses', 'gashful', 'veritates']",753,125,89,77
0,graph381.png,"['R', 'G', 'i', 'homefarer']",156,175,85,62
0,graph382.png,"['n', 'H', 'm', 'ahem']",135,170,62,62
0,graph383.png,[],,,,
0,graph384.png,['preconsult'],757,257,86,32
0,graph385.png,"['effervescency', 'enchainments']",138,229,104,47
0,graph386.png,"['o', 'B', 'presenile']",742,171,79,62
0,graph387.png,['dermapteran'],737,190,98,32
0,graph388.png,"['Z', 'anisaldoxime', 'dipppy', 'depravers']",745,174,99,77
0,graph389.png,"['ouranophobia', 'unreprobated']",738,183,102,32
0,graph390.png,"['Z', 'rodster']",461,132,69,32
0,graph391.png,"['B', 'toadstone', 'debauches', 'warblingly']",150,205,88,77
0,graph392.png,"['a', 'celsitude']",138,177,79,47
0,graph393.png,['nomadidae'],749,189,89,32
0,graph394.png,"['B', 'c', 'unpayable', 'marge']",151,225,86,62
0,graph395.png,"['guric', 'hyperpituitarism', 'chromolithic']",153,229,116,47
0,graph396.png,"['galactonic', 'tightlier', 'euomphalus', 'schlieren']",749,168,95,62
0,graph397.png,['goidel'],774,119,64,17
0,graph398.png,"['unloyally', 'gossips', 'spleenfully', 'miscoins']",445,218,88,62
0,graph399.png,"['j', 'muffer']",157,134,67,32
0,graph400.png,"['l', 'z', 'I', 'sourish']",776,216,70,62
0,graph401.png,[],,,,
0,graph402.png,['serotine'],118,266,74,17
0,graph403.png,[],,,,
0,graph404.png,['metazoal'],439,263,80,32
0,graph405.png,"['A', 'numble']",762,238,75,47
0,graph406.png,"['tangliest', 'meleagris', 'phantast', 'nonstructure']",133,174,97,77
0,graph407.png,"['emolumentary', 'glorioles']",138,249,106,32
0,graph408.png,"['F', 'dhanvantari']",139,196,94,47
0,graph409.png,"['S', 'chg', 'midweekly']",152,129,87,62
0,graph410.png,"['h', 'overcomer', 'disterr', 'quellio']",747,161,87,77
0,graph411.png,"['V', 'aweband', 'consimile']",142,172,81,47
0,graph412.png,"['fossilological', 'unlegalised']",738,118,97,32
0,graph413.png,[],,,,
0,graph414.png,['reweds'],465,132,70,17
0,graph415.png,"['buddhists', 'pattypan']",129,131,82,47
0,graph416.png,['studflower'],748,142,86,32
0,graph417.png,['stupefy'],156,209,71,17
0,graph418.png,['anemopathy'],743,128,96,32
0,graph419.png,"['L', 'J', 'Q', 'unretrievingly']",133,221,103,62
0,graph420.png,"['filibranchiate', 'armatures', 'strangulation', 'oometric']",428,232,100,62
0,graph421.png,"['Q', 't', 'isoalloxazine']",744,185,97,62
0,graph422.png,['phylactolaemata'],420,120,117,32
0,graph423.png,"['m', 'f', 'k', 'epichondrosis']",134,177,102,77
0,graph424.png,"['polytopic', 'methene', 'motleyness', 'satinets']",750,184,91,62
0,graph425.png,"['E', 'M', 'l', 'fertile']",477,222,63,62
0,graph426.png,"['F', 'j', 'spinner']",470,231,71,62
0,graph427.png,"['S', 'i', 'alar', 'cachemia']",753,166,82,77
0,graph428.png,"['w', 'bushwhacked', 'pastorita']",729,182,101,47
0,graph429.png,"['descort', 'concretization', 'chooser', 'putrefacient']",157,177,104,77
0,graph430.png,"['e', 'itineraries', 'agnostical', 'prabble']",746,131,85,77
0,graph431.png,"['D', 'v', 'v', 'cytococcus']",133,178,89,62
0,graph432.png,['flexured'],143,276,74,17
0,graph433.png,"['Y', 'C', 'L', 'uterectomy']",452,209,91,77
0,graph434.png,[],,,,
0,graph435.png,['ausubos'],441,122,75,17
0,graph436.png,"['u', 'E', 'dheneb', 'latitudinous']",138,128,92,77
0,graph437.png,"['brest', 'gorgerin']",761,130,76,47
0,graph438.png,[],,,,
0,graph439.png,"['x', 'inexcitably']",465,132,88,32
0,graph440.png,['overachieve'],138,277,94,17
0,graph441.png,"['autologist', 'pickeered']",150,174,83,47
0,graph442.png,"['e', 'g', 'i', 'snoutfair']",779,216,78,77
0,graph443.png,"['blondine', 'tonsillolith', 'imperiling']",759,176,85,62
0,graph444.png,['polygyn'],142,191,73,32
0,graph445.png,"['podiatrist', 'lacking']",151,246,81,32
0,graph446.png,"['x', 'laws']",130,132,56,47
0,graph447.png,"['U', 'k', 'echinodermata']",741,178,108,62
0,graph448.png,"['adynamy', 'unpunctuating']",438,260,106,32
0,graph449.png,"['p', 'irreverentialism', 'rebrick']",732,187,111,47
0,graph450.png,"['icosteine', 'romper']",131,253,79,32
0,graph451.png,"['u', 'bouchette']",761,115,84,47
0,graph452.png,"['p', 'T', 'ghanian']",782,136,74,47
